Genre_origine;Genre1;Genre2
pagode baiano;;
dutch death metal;metal;
atmospheric black metal;metal;
salsa cubana;latino;
baroque singing;classical;
melodic power metal;metal;
mizrahi;;
ok indie;rock;
french metal;metal;
british children's music;chill;
italian classical guitar;classical;
latincore;metal;
bulgarian experimental;;
austropop;pop;
proto-rap;rap;
chinese idol pop;pop;
polish blues;blues;
microtonal;;
deep free jazz;jazz;
indie deutschrap;rock;rap
gospel italiano;blues;
romanian electronic;electro;
technical groove metal;metal;
folclore salteno;;
funeral doom;metal;
albany ny indie;rock;
pibroch;;
indie triste;rock;
tuna estudiantil;;
canadian metalcore;metal;
deep gothic post-punk;rock;
danish punk;rock;
neo kyma;;
xtra raw;;
deep g funk;r&b;soul
beninese pop;pop;
arkansas indie;rock;
deep dnb;electro;
swedish progressive metal;metal;
italian gothic metal;metal;
progressive alternative;;
j-acoustic;;
indie rock mexicano;rock;
d-beat;;
jewish hip hop;rap;
baglama;;
japanese indie folk;rock;folk
polish reggae;reggae;
scottish hip hop;rap;
motivation;electro;
marching band;;
italian indie pop;rock;pop
focus beats;;
prog quebec;;
classical accordion;classical;
deep tech house;electro;
bristol indie;rock;
louvor;;
japanese piano;;
cymraeg;;
ottawa indie;rock;
turkish experimental;;
bahai;;
trap chileno;rap;
christian power metal;metal;
manchester indie;rock;
fluxwork;;
canadian modern jazz;jazz;
leicester indie;rock;
gamelan;;
progressive power metal;metal;
norwegian space disco;pop;
yiddish folk;folk;
accordeon;;
argentine hardcore;metal;
belarusian rock;rock;
experimental big band;;
virgin islands reggae;reggae;
dubsteppe;electro;
violao classico;classical;
lund indie;rock;
jordanian pop;pop;
animal singing;;
swiss worship;;
classic thai pop;classical;pop
kodomo no ongaku;;
hula;;
sufi chant;;
acid trance;electro;
hindi hip hop;rap;
canadian house;electro;
college a cappella;;
nz hardcore;metal;
dutch jazz;jazz;
japanese idm;;
norman ok indie;rock;
steelpan;;
memphis americana;;
hungarian rock;rock;
glee club;;
erhu;;
deep indie singer-songwriter;rock;pop
musica juiz-forana;;
industrial hardcore;metal;
norwegian choir;classical;
pei indie;rock;
orebro indie;rock;
electronica argentina;electro;
oth indie;rock;
polish post-rock;rock;
wind ensemble;classical;
mexican classical;classical;
hangpan;;
rock chapin;rock;
japanese prog;;
pinoy r&b;r&b;
swedish garage rock;rock;
gujarati pop;pop;
portuguese early music;;
v-pop;pop;
brazilian groove metal;metal;
musica piemonteisa;;
cape verdean folk;folk;
australian indie rock;rock;
belarusian pop;pop;
free folk;folk;
south carolina metal;metal;
keroncong;;
funky breaks;r&b;soul
russian metal;metal;
halifax indie;rock;
rap nacional antigo;rap;
sudanese pop;pop;
korean trap;rap;
turkish modern jazz;jazz;
chinese hip hop;rap;
musica sarda;;
orlando indie;rock;
deep melodic metalcore;metal;
deep delta blues;blues;
isle of wight indie;rock;
technical melodic death metal;metal;
guidance;;
ukrainian choir;classical;
turkish trap pop;rap;pop
gaian doom;;
argentine ambient;chill;
finnish heavy metal;metal;
fo jing;;
swedish black metal;metal;
italian mandolin;;
guadalajara indie;rock;
harmonica jazz;jazz;
zambian pop;pop;
thall;metal;
swedish rock-and-roll;rock;
orkney and shetland folk;folk;
german country;country;
antilliaanse folklore;folk;
uk noise rock;rock;
clawhammer banjo;;
rock kapak;rock;
atmospheric dnb;chill;
deep motown;;
coverchill;chill;
sydney indie;rock;
rumba congolaise;;
folklore boliviano;folk;
shaabi;;
mexican traditional;latino;
kent indie;rock;
australian indigenous;folk;
progressive deathcore;metal;
roda de samba;;
zouglou;;
tunisian pop;pop;
punjabi folk;folk;
musica de fondo;;
turkish trap;rap;
nu age;;
nederlandse hardstyle;electro;
classic french pop;classical;pop
danspunk;rock;
israeli mediterranean;;
zimdancehall;reggae;
rva indie;rock;
irish accordion;folk;
rock alternatif francais;rock;
neofolk;folk;
kentucky metal;metal;
german show tunes;;
minimal melodic techno;electro;
mongolian pop;pop;
blues latinoamericano;blues;latino
folklore chileno;folk;
kizomba antigas;;
vietnamese pop;pop;
belgian hardcore;metal;
croatian folk;folk;
lancashire indie;rock;
deathstep;electro;
metal mineiro;metal;
chinese indie rock;rock;
hungarian edm;electro;
brazilian punk;rock;
italian contemporary jazz;jazz;
chinese electropop;electro;pop
new zealand classical;classical;
uzbek pop;pop;
jump up;;
prepared piano;;
electronic djent;electro;
j-dance;electro;
8-bit;electro;
organic ambient;;
african percussion;folk;
australian classical piano;classical;
slovak electronic;electro;
japanese concert band;;
gospel rap;rap;blues
esperanto;;
calgary indie;rock;
dark jazz;jazz;
koto;;
brazilian percussion;folk;
derby indie;rock;
cape town indie;rock;
magyar alternative;;
south african choral;classical;
memphis indie;rock;
japanese r&b;r&b;
classic finnish pop;classical;pop
polish pop;pop;
swedish idol pop;pop;
danish post-punk;rock;
malmo indie;rock;
victoria bc indie;rock;
connecticut indie;rock;
ska chileno;reggae;latino
bible;;
taiwan indie;rock;
hungarian contemporary classical;classical;
swedish synth;electro;
charlottesville indie;rock;
frenchcore;electro;
action rock;rock;
musique pour enfant quebecois;pop;
svensk progg;;
bandolim;;
spanish invasion;latino;
recorder;;
york indie;rock;
ugandan pop;pop;
circuit;electro;
organic electronic;electro;
swedish electronic;electro;
musique pour enfants;pop;
dutch blues;blues;
cuarteto;latino;
hong kong hip hop;rap;
funk das antigas;jazz;blues
baroque woodwind;classical;
french post-punk;rock;
brazilian thrash metal;metal;
uk stoner rock;rock;
bristol electronic;electro;
japanese classical piano;classical;
musique touareg;;
middle eastern traditional;folk;
j-division;rock;
neotango;latino;
glitch pop;pop;
canadian indigenous hip hop;rap;
italo house;electro;
new orleans indie;rock;
channel islands indie;rock;
cante flamenco;latino;
swedish jazz orkester;jazz;
rock alternativo brasileiro;rock;
irish banjo;;
utah indie;rock;
joropo;latino;
deep soul house;electro;soul
atlanta punk;rock;
arkansas hip hop;rap;
dong-yo;;
deep flow;rap;
speedcore;electro;
caucasian classical piano;classical;
northern irish indie;rock;
french death metal;metal;
